date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-06-13,0.234191143711672,-1.229915078107055,-2.0373927925762745,-0.708702256529417,-1.8986546215068876
2024-06-14,-0.0393938280997494,-1.1871917089002253,-1.9671106090566433,-0.6564681158911693,-1.783375961411312
2024-06-17,0.7635164372320518,-1.147262518334169,-1.898865338779507,-0.6441639557272211,-1.680644252913832
2024-06-18,0.2518154181517116,-1.1409406527090638,-1.855333165272405,-0.6785210873836992,-1.80456319492616
2024-06-20,-0.252912739541154,-1.101420918651926,-1.909698493038037,-0.6178990993125006,-1.7035880652595412
2024-06-21,-0.1563351718825249,-1.0643101546280938,-1.8041552511742576,-0.5813764663186125,-1.6623276737911776
2024-06-24,-0.3069879155866442,-1.0388702535610823,-1.7746367165155787,-0.5375449162603029,-1.5981189267349056
2024-06-25,0.3925873679181343,-1.0450454377265401,-1.7651919297569123,-0.5679455270994008,-1.5944595150267415
2024-06-26,0.1571196224720452,-1.053334780268706,-1.933113580958948,-0.5823527800360078,-1.556104887859179
2024-06-27,0.0906909856799073,-1.0569929841437364,-1.7841534623346125,-0.5493588098506607,-1.475926862329174
2024-06-28,-0.4092013462369599,-1.0700849619486579,-1.8126741777631852,-0.5993661295199892,-1.4038377718271169
2024-07-01,0.2671990981429523,-1.1123245347255548,-1.8675402729141357,-0.6295024801499708,-1.4871000287197167
2024-07-02,0.6176205771185049,-1.1585707263842446,-2.0043422988587047,-0.6378924172071693,-1.431560281432845
2024-07-03,0.5071562269533664,-1.2294572199610976,-2.0456546736060166,-0.6677271669956922,-1.5239485328975848
2024-07-05,0.543397436096954,-1.2995952036206444,-2.204348064285094,-0.7348031349713811,-1.5414566682507278
2024-07-08,0.1016182476404432,-1.35558865266961,-2.2342227378970585,-0.7492303793316173,-1.5724719798456146
2024-07-09,0.0740797478065475,-1.4214040621037245,-2.4201561756484495,-0.7812216909238612,-1.4877732153945868
2024-07-10,1.0156314878105883,-1.5120261031606756,-2.5638642221564254,-0.8350234907681185,-1.4142664649730958
2024-07-11,-0.8801649969266724,-1.628035497263053,-2.6315528881312997,-0.9241624977756795,-1.800568084264063
2024-07-12,0.550186402496512,-1.715446680964275,-2.8195337312177924,-0.9958757183239861,-2.103425624230907
2024-07-15,0.2822216423352684,-1.7619417455896529,-2.8592057056873976,-1.006446332163529,-2.0433637930310176
2024-07-16,0.6369049971453274,-1.8544094424771638,-3.133530997270801,-1.064755646281382,-1.9176695828449115
2024-07-17,-1.4025441523645543,-1.9983175690160557,-3.2364325593779943,-1.1479093355296974,-1.9247175974730109
2024-07-18,-0.7847112145350073,-2.115304137886068,-3.3289048723423846,-1.243585848460348,-2.642784275394674
2024-07-19,-0.7165879226406084,-2.211414152743112,-3.667929737066256,-1.2848904338890104,-2.6886040062723096
2024-07-22,1.0734217246220292,-2.3064887557405473,-3.880815939708613,-1.329008819172027,-2.6900045327204447
2024-07-23,-0.155931769394619,-2.415805261865902,-3.8761190888033754,-1.422921483411083,-2.788380439084176
